Country,Out_Degree,Out_Centrality,In_Degree
Chile,142,0.7064676616915423,135
Greece,141,0.7014925373134329,131
Macau (China),141,0.7014925373134329,128
Poland,139,0.6915422885572139,149
Croatia,138,0.6865671641791045,108
Panama,135,0.6716417910447762,121
Lebanon,133,0.6616915422885572,107
Bulgaria,133,0.6616915422885572,121
New Zealand,133,0.6616915422885572,134
Romania,132,0.6567164179104478,127
Russia,131,0.6517412935323383,147
Algeria,129,0.6417910447761194,103
Bahamas,129,0.6417910447761194,137
Iran,128,0.6368159203980099,95
Azerbaijan,127,0.6318407960199005,114
Kenya,126,0.6268656716417911,106
Czechia,126,0.6268656716417911,141
Nigeria,125,0.6218905472636815,157
Guatemala,123,0.6119402985074627,75
Uzbekistan,122,0.6069651741293532,83
Serbia,122,0.6069651741293532,102
Georgia,121,0.6019900497512438,96
Sri Lanka,120,0.5970149253731343,67
Mauritius,118,0.5870646766169154,130
Iraq,117,0.582089552238806,140
Democratic People’s Republic of Korea,116,0.5771144278606966,59
Hungary,115,0.572139303482587,132
Moldova,114,0.5671641791044776,56
Argentina,114,0.5671641791044776,121
Oman,111,0.5522388059701493,128
Afghanistan,109,0.5422885572139303,92
Turkmenistan,109,0.5422885572139303,89
Estonia,108,0.5373134328358209,101
Armenia,107,0.5323383084577115,78
Dominican Republic,106,0.527363184079602,76
Lithuania,104,0.5174129353233831,104
North Macedonia,104,0.5174129353233831,83
Honduras,103,0.5124378109452736,64
Peru,102,0.5074626865671642,108
Iceland,100,0.4975124378109453,88
Djibouti,99,0.4925373134328358,93
Bermuda,98,0.48756218905472637,138
Cameroon,96,0.47761194029850745,90
Seychelles,95,0.472636815920398,86
Togo,95,0.472636815920398,61
Tanzania,92,0.4577114427860697,84
Slovenia,92,0.4577114427860697,104
Senegal,91,0.4527363184079602,53
Slovak Republic,90,0.44776119402985076,107
Ethiopia,89,0.4427860696517413,86
Myanmar,89,0.4427860696517413,63
Costa Rica,89,0.4427860696517413,92
Kyrgyzstan,88,0.43781094527363185,70
Jordan,81,0.40298507462686567,89
Libya,80,0.39800995024875624,60
El Salvador,80,0.39800995024875624,60
Bangladesh,80,0.39800995024875624,104
Madagascar,79,0.39303482587064675,61
Ecuador,79,0.39303482587064675,92
Palestinian Authority or West Bank and Gaza Strip,79,0.39303482587064675,39
Antigua and Barbuda,78,0.3880597014925373,81
Jamaica,76,0.3781094527363184,87
Belarus,75,0.373134328358209,97
Liberia,74,0.3681592039800995,56
Montenegro,73,0.36318407960199006,66
Turks and Caicos Islands,72,0.3582089552238806,30
Uganda,72,0.3582089552238806,95
Nicaragua,71,0.35323383084577115,49
Belize,71,0.35323383084577115,87
Malawi,70,0.3482587064676617,104
Paraguay,69,0.34328358208955223,60
Curaçao,68,0.3383084577114428,105
Burundi,68,0.3383084577114428,33
Albania,65,0.32338308457711445,81
Bosnia and Herzegovina,65,0.32338308457711445,87
Cambodia,65,0.32338308457711445,43
Mali,64,0.31840796019900497,54
Yemen,62,0.30845771144278605,51
Namibia,62,0.30845771144278605,96
Côte d’Ivoire,62,0.30845771144278605,58
Mongolia,61,0.3034825870646766,60
Mozambique,61,0.3034825870646766,78
Angola,60,0.29850746268656714,174
Botswana,59,0.2935323383084577,83
Trinidad and Tobago,58,0.2885572139303483,74
Aruba,57,0.2835820895522388,81
Burkina Faso,56,0.27860696517412936,89
Dominica,56,0.27860696517412936,40
Sudan,55,0.2736318407960199,44
Syrian Arab Republic,54,0.26865671641791045,44
Benin,53,0.263681592039801,77
Gambia,53,0.263681592039801,41
Somalia,53,0.263681592039801,62
Rwanda,50,0.24875621890547264,50
Eritrea,49,0.24378109452736318,33
Guinea,49,0.24378109452736318,95
Congo,48,0.23880597014925373,88
Barbados,48,0.23880597014925373,125
Lao People’s Democratic Republic,47,0.23383084577114427,41
Papua New Guinea,47,0.23383084577114427,85
Niger,46,0.22885572139303484,48
Suriname,45,0.22388059701492538,66
Anguilla,44,0.21890547263681592,42
Guyana,43,0.21393034825870647,101
Equatorial Guinea,43,0.21393034825870647,68
New Caledonia,43,0.21393034825870647,33
Mauritania,43,0.21393034825870647,73
Eswatini,43,0.21393034825870647,77
Nepal,41,0.20398009950248755,44
Guinea-Bissau,39,0.19402985074626866,26
Bolivia,38,0.1890547263681592,57
Venezuela,38,0.1890547263681592,113
Zambia,38,0.1890547263681592,96
Maldives,37,0.18407960199004975,53
Grenada,36,0.1791044776119403,25
Comoros,36,0.1791044776119403,36
Sint Maarten,36,0.1791044776119403,83
Saint Kitts and Nevis,36,0.1791044776119403,64
Brunei Darussalam,35,0.17412935323383086,87
Haiti,35,0.17412935323383086,27
Zimbabwe,34,0.1691542288557214,57
Faroe Islands,33,0.16417910447761194,68
Sierra Leone,32,0.15920398009950248,57
Cabo Verde,30,0.14925373134328357,46
Fiji,29,0.14427860696517414,41
Samoa,28,0.13930348258706468,18
Saint Lucia,26,0.12935323383084577,28
Saint Vincent and the Grenadines,22,0.10945273631840796,60
Chad,22,0.10945273631840796,33
French Polynesia,21,0.1044776119402985,23
Tajikistan,20,0.09950248756218906,46
Vanuatu,19,0.0945273631840796,30
Solomon Islands,17,0.0845771144278607,28
Central African Republic,16,0.07960199004975124,19
Bhutan,16,0.07960199004975124,27
Gabon,14,0.06965174129353234,112
Sao Tome and Principe,14,0.06965174129353234,34
Democratic Republic of the Congo,13,0.06467661691542288,64
Tonga,12,0.05970149253731343,11
Lesotho,9,0.04477611940298507,29
Montserrat,8,0.03980099502487562,12
Timor-Leste,7,0.03482587064676617,4
Kiribati,1,0.004975124378109453,12
Tuvalu,1,0.004975124378109453,3
World,0,0.0,199
Rest of the world,0,0.0,154
Kosovo,0,0.0,71
